Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"January 1, 2026 - March 20, 2026"
Statement,Data,WhenGenerated,"2026-03-21, 07:18:22 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,0.0
Summary,Data,Change,488092.3059
Summary,Data,Ending Cash,488092.3059
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2026-03-16,DUO116877,System Transfer from DUO116877,Deposit,-,-,-,-,11617.73,-,11617.73
Transaction History,Data,2026-03-16,DUO116877,System Transfer to DUO116877C,Withdrawal,-,-,-,-,-11617.73,-,-11617.73
Transaction History,Data,2026-03-13,DUO116877,TFM APR26 Position MTM,Position MTM,TFMJ6,-,-,-,3103.1405999999997,-,3103.1405999999997
Transaction History,Data,2026-03-13,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,-1000.0,-,-1000.0
Transaction History,Data,2026-03-13,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,888.6500000000001,-,888.6500000000001
Transaction History,Data,2026-03-12,DUO116877,TFM APR26 Position MTM,Position MTM,TFMJ6,-,-,-,-3650.82876,-,-3650.82876
Transaction History,Data,2026-03-12,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,6625.0,-,6625.0
Transaction History,Data,2026-03-12,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,1273.25,-,1273.25
Transaction History,Data,2026-03-12,DUO116877,CC JUN26 2800 P,Sell,COM6 P2800,-40.0,20.0,USD,8000.0,-118.8,7881.2
Transaction History,Data,2026-03-11,DUO116877,TFM APR26 Position MTM,Position MTM,TFMJ6,-,-,-,-10810.055520000002,-,-10810.055520000002
Transaction History,Data,2026-03-11,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,6125.0,-,6125.0
Transaction History,Data,2026-03-11,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,2329.88625,-,2329.88625
Transaction History,Data,2026-03-11,DUO116877,System Transfer from DUO116877,Deposit,-,-,-,-,27355.45,-,27355.45
Transaction History,Data,2026-03-11,DUO116877,System Transfer to DUO116877C,Withdrawal,-,-,-,-,-27355.45,-,-27355.45
Transaction History,Data,2026-03-10,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,2750.0,-,2750.0
Transaction History,Data,2026-03-10,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,-4522.345,-,-4522.345
